"time","l2.v","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
3.31,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.32,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.33,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.34,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.35,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.36,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.37,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.38,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.39,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.4,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.41,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.42,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.43,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.44,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.45,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.46,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.47,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.48,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.49,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.5,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.51,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.52,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.53,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.54,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.55,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.56,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.57,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.58,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.59,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.6,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.61,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.62,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.63,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.64,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.65,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.66,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.67,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.68,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.69,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.7,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.71,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.72,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.73,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.74,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.75,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.76,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.77,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.78,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.79,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.8,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.81,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.82,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.83,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.84,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.85,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.86,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.87,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.88,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.89,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.9,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.91,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.92,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.93,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.94,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.95,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.96,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.97,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.98,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
3.99,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.01,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.02,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.03,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.04,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.05,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.06,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.07,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
4.08,-0.07000000000000001,0,-0.06,0,-0.07000000000000001
