"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
3.57,-0.08,-3.301336655374966e-13,0,-0.08,0,-0.08
3.58,-0.08,-3.303554107600939e-13,0,-0.08,0,-0.08
3.59,-0.08,-3.305757085097059e-13,0,-0.08,0,-0.08
3.6,-0.08,-3.307945682572485e-13,0,-0.08,0,-0.08
3.61,-0.08,-3.310119994112442e-13,0,-0.08,0,-0.08
3.62,-0.08,-3.312280113181981e-13,0,-0.08,0,-0.08
3.63,-0.08,-3.314426132629737e-13,0,-0.08,0,-0.08
3.64,-0.08,-3.316558144691684e-13,0,-0.08,0,-0.08
3.65,-0.08,-3.318676240121746e-13,0,-0.08,0,-0.08
3.66,-0.08,-3.320780509670444e-13,0,-0.08,0,-0.08
3.67,-0.08,-3.32287104443685e-13,0,-0.08,0,-0.08
3.68,-0.08,-3.324947934187827e-13,0,-0.08,0,-0.08
3.69,-0.08,-3.327011268092678e-13,0,-0.08,0,-0.08
3.7,-0.08,-3.329061134726789e-13,0,-0.08,0,-0.08
3.71,-0.08,-3.331097622075284e-13,0,-0.08,0,-0.08
3.72,-0.08,-3.33312081753668e-13,0,-0.08,0,-0.08
3.73,-0.08,-3.335130807926534e-13,0,-0.08,0,-0.08
3.74,-0.08,-3.337127679481095e-13,0,-0.08,0,-0.08
3.75,-0.08,-3.339111517860963e-13,0,-0.08,0,-0.08
3.76,-0.08,-3.341082408154736e-13,0,-0.08,0,-0.08
3.77,-0.08,-3.343040434882661e-13,0,-0.08,0,-0.08
3.78,-0.08,-3.344985682000289e-13,0,-0.08,0,-0.08
3.79,-0.08,-3.346918232902133e-13,0,-0.08,0,-0.08
3.8,-0.08,-3.348838170425309e-13,0,-0.08,0,-0.08
3.81,-0.08,-3.350745576853198e-13,0,-0.08,0,-0.08
3.82,-0.08,-3.352640533919096e-13,0,-0.08,0,-0.08
3.83,-0.08,-3.354523122809867e-13,0,-0.08,0,-0.08
3.84,-0.08,-3.356393426546796e-13,0,-0.08,0,-0.08
3.85,-0.08,-3.358251523487366e-13,0,-0.08,0,-0.08
3.86,-0.08,-3.360097493199364e-13,0,-0.08,0,-0.08
