"time","l2.v","vc.i","vc.is_peak","vc.v_pulse","vc.vs_peak","vc.v"
2.7,-0.08,-4.679260878953946e-13,0,-0.08,0,-0.08
2.71,-0.08,-4.685294403495773e-13,0,-0.08,0,-0.08
2.72,-0.08,-4.691288484659521e-13,0,-0.08,0,-0.08
2.73,-0.08,-4.697243372060046e-13,0,-0.08,0,-0.08
2.74,-0.08,-4.703159464986784e-13,0,-0.08,0,-0.08
2.75,-0.08,-4.709037051469819e-13,0,-0.08,0,-0.08
2.76,-0.08,-4.714876261039908e-13,0,-0.08,0,-0.08
2.77,-0.08,-4.720677343143451e-13,0,-0.08,0,-0.08
2.78,-0.08,-4.726440545421496e-13,0,-0.08,0,-0.08
2.79,-0.08,-4.732166113709738e-13,0,-0.08,0,-0.08
2.8,-0.08,-4.737854292038503e-13,0,-0.08,0,-0.08
2.81,-0.08,-4.743505322632732e-13,0,-0.08,0,-0.08
2.82,-0.08,-4.749119445911978e-13,0,-0.08,0,-0.08
2.83,-0.08,-4.75469690049039e-13,0,-0.08,0,-0.08
2.84,-0.08,-4.760237923176704e-13,0,-0.08,0,-0.08
2.85,-0.08,-4.76574274897423e-13,0,-0.08,0,-0.08
2.86,-0.08,-4.771211611080851e-13,0,-0.08,0,-0.08
2.87,-0.08,-4.776644740888997e-13,0,-0.08,0,-0.08
2.88,-0.08,-4.78204237343791e-13,0,-0.08,0,-0.08
2.89,-0.08,-4.78740492768005e-13,0,-0.08,0,-0.08
2.9,-0.08,-4.792732483212517e-13,0,-0.08,0,-0.08
2.91,-0.08,-4.798025269633506e-13,0,-0.08,0,-0.08
2.92,-0.08,-4.803283514969434e-13,0,-0.08,0,-0.08
2.93,-0.08,-4.808507445674969e-13,0,-0.08,0,-0.08
2.94,-0.08,-4.813697286633038e-13,0,-0.08,0,-0.08
2.95,-0.08,-4.818853261154846e-13,0,-0.08,0,-0.08
2.96,-0.08,-4.823975590979905e-13,0,-0.08,0,-0.08
2.97,-0.08,-4.829064496276038e-13,0,-0.08,0,-0.08
2.98,-0.08,-4.834120195639413e-13,0,-0.08,0,-0.08
2.99,-0.08,-4.839142906094546e-13,0,-0.08,0,-0.08
3,-0.08,-4.844132843094327e-13,0,-0.08,0,-0.08
3.01,-0.08,-4.849090220520031e-13,0,-0.08,0,-0.08
3.02,-0.08,-4.854015250681342e-13,0,-0.08,0,-0.08
3.03,-0.08,-4.858908132229124e-13,0,-0.08,0,-0.08
3.04,-0.08,-4.863769070939337e-13,0,-0.08,0,-0.08
